experiment_group,condition,Accuracy,Macro_F1,MAE,Pearson_r
模态类型消融,完整基准 (Full),0.6318681318681318,0.6144125685387793,0.6001353,0.64044404
模态类型消融,缺失语音模态 (-Audio),0.6291208791208791,0.6139144707590264,0.593759,0.65000683
模态类型消融,缺失视觉模态 (-Vision),0.625,0.6080391746873663,0.5971185,0.6439604
模态类型消融,缺失文本模态 (-Text),0.6346153846153846,0.6140485380152887,0.60862726,0.6344029
模态类型消融,双缺失 (-Audio & -Vision),0.6222527472527473,0.6070857939561913,0.5894075,0.65456307
模态类型消融,双缺失 (-Text & -Audio),0.6304945054945055,0.6119715599383371,0.59989476,0.6480391
模态类型消融,双缺失 (-Text & -Vision),0.6304945054945055,0.6101524242686032,0.60478026,0.6407416
缺失位置消融,前段缺失 (Early 0~30%),0.6181318681318682,0.6029500134181606,0.5995496,0.6386667
缺失位置消融,中段缺失 (Middle 35~65%),0.6332417582417582,0.6163358813254729,0.5907586,0.6527458
缺失位置消融,后段缺失 (Late 70~100%),0.6332417582417582,0.6158288908228972,0.59805983,0.643242
缺失时长衰减,缺失比例 0%,0.6318681318681318,0.6144125685387793,0.6001353,0.64044404
缺失时长衰减,缺失比例 10%,0.635989010989011,0.6187401909269802,0.59770423,0.64336395
缺失时长衰减,缺失比例 20%,0.6304945054945055,0.6143712743064962,0.595813,0.6458839
缺失时长衰减,缺失比例 30%,0.6304945054945055,0.6148684912042693,0.5942909,0.64872396
缺失时长衰减,缺失比例 40%,0.6291208791208791,0.6139144707590264,0.593759,0.65000683
缺失时长衰减,缺失比例 50%,0.6208791208791209,0.6055620539936067,0.5934778,0.65180546
缺失时长衰减,缺失比例 60%,0.6195054945054945,0.6050440399871426,0.59285194,0.6527613
缺失时长衰减,缺失比例 70%,0.6208791208791209,0.6045472287275565,0.59274393,0.65251595
