missing_type,nominal_ratio,starts,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,pearson_mean,pearson_std
a,0.3,"0,17,35",0.6291208791208791,0.0036342737789348645,0.6124106877516317,0.0038689215562182095,0.5976892908414205,0.0029503701337222805,0.6438948313395182,0.004193772177057457
a,0.5,"0,12,25",0.6259157509157509,0.007565344158360003,0.6105757924478873,0.006852227658695631,0.59492427110672,0.001294833058584029,0.6482645074526469,0.0031609463202791578
a,0.7,"0,7,15",0.6245421245421245,0.0031722542263166137,0.6089639753439686,0.0038270674830242005,0.5930400093396505,0.00025705733189195824,0.6511533061663309,0.001187477746649392
v,0.3,"0,17,35",0.625,0.009007470500414803,0.6076485579897096,0.008730983124823642,0.5995808641115824,0.002486171478377627,0.6411360700925192,0.0029649611129274156
v,0.5,"0,12,25",0.6222527472527473,0.007648027970920333,0.6056326688451091,0.007034106778949743,0.5991594592730204,0.002407279400204526,0.6418079535166422,0.0026952542539510293
v,0.7,"0,7,15",0.6176739926739927,0.009350081436200641,0.6018861416518243,0.009022744528259855,0.5995804071426392,0.0026600306344903837,0.64195450146993,0.003358228517541914
t,0.3,"0,17,35",0.6263736263736264,0.013246773023341924,0.6082413447585976,0.008216574531038868,0.6127121448516846,0.0073064304859216216,0.6237597664197286,0.016420737339380848
t,0.5,"0,12,25",0.6172161172161172,0.012001229324250148,0.5941543018616711,0.012632326179117026,0.6234938899676005,0.008111805996931747,0.6097103953361511,0.01675997134349453
t,0.7,"0,7,15",0.5943223443223443,0.0106695789356511,0.5622903832366307,0.012233773527829138,0.6528728604316711,0.0039930210110704165,0.5706827243169149,0.014216582047513094
a_v,0.3,"0,17,35",0.6282051282051282,0.008723699122370688,0.611704928522177,0.007586215374040283,0.596122682094574,0.004704753244041347,0.6448848247528076,0.0071818780685628135
a_v,0.5,"0,12,25",0.6195054945054945,0.012589493667461102,0.6045968785665027,0.011528404248702332,0.5925042827924093,0.003349277053035723,0.6501108407974243,0.006083879555582336
a_v,0.7,"0,7,15",0.6112637362637363,0.009007470500414855,0.5970563868641084,0.00784632389424202,0.589456836382548,0.001981942415376131,0.6539016564687093,0.004127164371812299
