样本编号,特征文件名,情感极性预测 (Polarity),情感强度预测 (Intensity),预测不确定度 (Uncertainty),预测置信度 (Confidence),文本模态门控 (Text Gate),语音模态门控 (Audio Gate),视觉模态门控 (Vision Gate),模态局部缺失情况描述
test_01,附件3_01.pkl,Negative,-1.0346,0.1272,0.791,0.589,0.272,0.139,文本缺失(步长8~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_02,附件3_02.pkl,Neutral,-0.0387,0.0677,0.7821,0.397,0.338,0.265,文本缺失(步长30~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_03,附件3_03.pkl,Neutral,0.2545,0.1356,0.6558,0.365,0.338,0.296,文本缺失(步长34~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_04,附件3_04.pkl,Neutral,0.4724,0.074,0.5,0.377,0.238,0.385,文本缺失(步长33~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_05,附件3_05.pkl,Negative,-1.1077,0.129,0.7791,0.399,0.412,0.189,文本缺失(步长14~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_06,附件3_06.pkl,Positive,1.1894,0.0974,0.9049,0.406,0.215,0.379,文本缺失(步长27~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_07,附件3_07.pkl,Neutral,0.1465,0.0541,0.5701,0.601,0.114,0.285,文本缺失(步长23~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_08,附件3_08.pkl,Positive,0.5441,0.2218,0.6661,0.48,0.399,0.121,文本缺失(步长17~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_09,附件3_09.pkl,Positive,1.3106,0.0461,0.9262,0.432,0.249,0.319,文本缺失(步长16~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_10,附件3_10.pkl,Neutral,0.0064,0.06,0.6395,0.597,0.335,0.068,文本缺失(步长8~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_11,附件3_11.pkl,Positive,0.523,0.1741,0.5,0.439,0.375,0.186,文本缺失(步长16~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_12,附件3_12.pkl,Positive,0.7389,0.2775,0.717,0.644,0.189,0.168,文本缺失(步长15~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_13,附件3_13.pkl,Neutral,0.4221,0.0325,0.5,0.634,0.222,0.145,文本缺失(步长21~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_14,附件3_14.pkl,Negative,-0.4728,0.0808,0.6489,0.652,0.21,0.139,文本缺失(步长25~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_15,附件3_15.pkl,Positive,0.9603,0.2429,0.8366,0.345,0.238,0.417,文本缺失(步长29~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_16,附件3_16.pkl,Positive,1.212,0.1824,0.8995,0.544,0.228,0.228,文本缺失(步长36~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_17,附件3_17.pkl,Positive,0.2529,0.1946,0.5,0.464,0.362,0.173,文本缺失(步长24~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_18,附件3_18.pkl,Neutral,0.5229,0.0986,0.5024,0.311,0.395,0.294,文本缺失(步长19~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_19,附件3_19.pkl,Neutral,0.04,0.2175,0.5,0.476,0.275,0.25,文本缺失(步长26~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_20,附件3_20.pkl,Neutral,0.1497,0.0755,0.5802,0.619,0.206,0.175,文本完整; 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_21,附件3_21.pkl,Positive,0.5467,0.0684,0.5748,0.487,0.302,0.211,文本缺失(步长11~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_22,附件3_22.pkl,Positive,0.7006,0.3048,0.6996,0.617,0.279,0.103,文本缺失(步长19~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_23,附件3_23.pkl,Positive,0.449,0.1834,0.5113,0.489,0.319,0.191,文本缺失(步长15~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_24,附件3_24.pkl,Negative,0.1543,0.4061,0.5,0.579,0.215,0.206,文本缺失(步长10~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_25,附件3_25.pkl,Neutral,0.4873,0.1248,0.5349,0.608,0.169,0.223,文本缺失(步长11~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_26,附件3_26.pkl,Positive,0.6889,0.1061,0.8144,0.516,0.244,0.24,文本缺失(步长24~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_27,附件3_27.pkl,Positive,0.8231,0.082,0.7073,0.642,0.184,0.174,文本缺失(步长23~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_28,附件3_28.pkl,Neutral,0.4175,0.1353,0.511,0.777,0.128,0.095,文本缺失(步长35~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_29,附件3_29.pkl,Positive,0.5115,0.1507,0.6152,0.773,0.148,0.079,文本缺失(步长20~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
test_30,附件3_30.pkl,Positive,0.5019,0.2495,0.5,0.578,0.259,0.163,文本缺失(步长26~49); 语音缺失(步长0~49); 视觉缺失(步长0~49)
